PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31732549","Assessing Protein Sequence Database Suitability Using De Novo Sequencing","Johnson RS, Searle BC, Nunn BL, Gilmore JM, Phillips M, Amemiya CT, Heck M, MacCoss MJ.","Mol Cell Proteomics. 2020 Jan;19(1):198-208. doi: 10.1074/mcp.TIR119.001752. Epub 2019 Nov 15.","Johnson RS","Mol Cell Proteomics","2020","2019/11/17","PMC6944239","","10.1074/mcp.TIR119.001752"
"34570095","Quantifying Tissue-Specific Proteostatic Decline in Caenorhabditis elegans","Lazaro-Pena MI, Cornwell AB, Samuelson AV.","J Vis Exp. 2021 Sep 7;(175):10.3791/61100. doi: 10.3791/61100.","Lazaro-Pena MI","J Vis Exp","2021","2021/09/27","PMC9134844","NIHMS1798990","10.3791/61100"
"22546897","A UPR-independent infection-specific role for a BiP/GRP78 protein in the control of antimicrobial peptide expression in C. elegans epidermis","Couillault C, Fourquet P, Pophillat M, Ewbank JJ.","Virulence. 2012 May 1;3(3):299-308. doi: 10.4161/viru.20384. Epub 2012 May 1.","Couillault C","Virulence","2012","2012/05/02","PMC3442842","","10.4161/viru.20384"
"22645319","Duplicate gene enrichment and expression pattern diversification in multicellularity","Padawer T, Leighty RE, Wang D.","Nucleic Acids Res. 2012 Sep;40(16):7597-605. doi: 10.1093/nar/gks464. Epub 2012 May 29.","Padawer T","Nucleic Acids Res","2012","2012/05/31","PMC3439886","","10.1093/nar/gks464"
"16402360","Functional and phenotypic relevance of differentially expressed proteins in calcineurin mutants of Caenorhabditis elegans","Ahn DH, Singaravelu G, Lee S, Ahnn J, Shim YH.","Proteomics. 2006 Feb;6(4):1340-50. doi: 10.1002/pmic.200500315.","Ahn DH","Proteomics","2006","2006/01/13","","","10.1002/pmic.200500315"
"20711477","Widespread protein aggregation as an inherent part of aging in C. elegans","David DC, Ollikainen N, Trinidad JC, Cary MP, Burlingame AL, Kenyon C.","PLoS Biol. 2010 Aug 10;8(8):e1000450. doi: 10.1371/journal.pbio.1000450.","David DC","PLoS Biol","2010","2010/08/17","PMC2919420","","10.1371/journal.pbio.1000450"
"25940980","Analysis of lifespan-promoting effect of garlic extract by an integrated metabolo-proteomics approach","Huang CH, Hsu FY, Wu YH, Zhong L, Tseng MY, Kuo CJ, Hsu AL, Liang SS, Chiou SH.","J Nutr Biochem. 2015 Aug;26(8):808-17. doi: 10.1016/j.jnutbio.2015.02.010. Epub 2015 Apr 2.","Huang CH","J Nutr Biochem","2015","2015/05/06","","","10.1016/j.jnutbio.2015.02.010"
"29299835","A Caenorhabditis elegans Mass Spectrometric Resource for Neuropeptidomics","Van Bael S, Zels S, Boonen K, Beets I, Schoofs L, Temmerman L.","J Am Soc Mass Spectrom. 2018 May;29(5):879-889. doi: 10.1007/s13361-017-1856-z. Epub 2018 Jan 3.","Van Bael S","J Am Soc Mass Spectrom","2018","2018/01/05","","","10.1007/s13361-017-1856-z"
"11778048","Combined functional genomic maps of the C. elegans DNA damage response","Boulton SJ, Gartner A, Reboul J, Vaglio P, Dyson N, Hill DE, Vidal M.","Science. 2002 Jan 4;295(5552):127-31. doi: 10.1126/science.1065986.","Boulton SJ","Science","2002","2002/01/05","","","10.1126/science.1065986"
"39539936","Exploring diabesity pathophysiology through proteomic analysis using Caenorhabditis elegans","Subhadra M, Mir DA, Ankita K, Sindunathy M, Kishore HD, Ravichandiran V, Balamurugan K.","Front Endocrinol (Lausanne). 2024 Oct 30;15:1383520. doi: 10.3389/fendo.2024.1383520. eCollection 2024.","Subhadra M","Front Endocrinol (Lausanne)","2024","2024/11/14","PMC11557309","","10.3389/fendo.2024.1383520"
"28679685","Changes of Protein Turnover in Aging Caenorhabditis elegans","Dhondt I, Petyuk VA, Bauer S, Brewer HM, Smith RD, Depuydt G, Braeckman BP.","Mol Cell Proteomics. 2017 Sep;16(9):1621-1633. doi: 10.1074/mcp.RA117.000049. Epub 2017 Jul 5.","Dhondt I","Mol Cell Proteomics","2017","2017/07/07","PMC5587862","","10.1074/mcp.RA117.000049"
"27026526","Vulnerability of newly synthesized proteins to proteostasis stress","Xu G, Pattamatta A, Hildago R, Pace MC, Brown H, Borchelt DR.","J Cell Sci. 2016 May 1;129(9):1892-901. doi: 10.1242/jcs.176479. Epub 2016 Mar 29.","Xu G","J Cell Sci","2016","2016/03/31","PMC4893652","","10.1242/jcs.176479"
"14704431","A map of the interactome network of the metazoan C. elegans","Li S, Armstrong CM, Bertin N, Ge H, Milstein S, Boxem M, Vidalain PO, Han JD, Chesneau A, Hao T, Goldberg DS, Li N, Martinez M, Rual JF, Lamesch P, Xu L, Tewari M, Wong SL, Zhang LV, Berriz GF, Jacotot L, Vaglio P, Reboul J, Hirozane-Kishikawa T, Li Q, Gabel HW, Elewa A, Baumgartner B, Rose DJ, Yu H, Bosak S, Sequerra R, Fraser A, Mango SE, Saxton WM, Strome S, Van Den Heuvel S, Piano F, Vandenhaute J, Sardet C, Gerstein M, Doucette-Stamm L, Gunsalus KC, Harper JW, Cusick ME, Roth FP, Hill DE, Vidal M.","Science. 2004 Jan 23;303(5657):540-3. doi: 10.1126/science.1091403. Epub 2004 Jan 2.","Li S","Science","2004","2004/01/06","PMC1698949","NIHMS11367","10.1126/science.1091403"
"22579749","Comparative proteomic analysis reveals differentially expressed proteins in Caenorhabditis elegans pgl-1 mutants grown at 20°C and 25°C","Tohsato Y, Monobe K, Suzuki K, Hayano T, Kawasaki I, Ito M.","J Proteomics. 2012 Aug 3;75(15):4792-801. doi: 10.1016/j.jprot.2012.04.038. Epub 2012 May 8.","Tohsato Y","J Proteomics","2012","2012/05/15","","","10.1016/j.jprot.2012.04.038"
"31968176","Unveiling Taenia solium kinome profile and its potential for new therapeutic targets","Arora N, Raj A, Anjum F, Kaur R, Rawat SS, Kumar R, Tripathi S, Singh G, Prasad A.","Expert Rev Proteomics. 2020 Jan;17(1):85-94. doi: 10.1080/14789450.2020.1719835. Epub 2020 Jan 29.","Arora N","Expert Rev Proteomics","2020","2020/01/23","","","10.1080/14789450.2020.1719835"
"32831297","Quantification of Insoluble Protein Aggregation in Caenorhabditis elegans during Aging with a Novel Data-Independent Acquisition Workflow","Xie X, Chamoli M, Bhaumik D, Sivapatham R, Angeli S, Andersen JK, Lithgow GJ, Schilling B.","J Vis Exp. 2020 Aug 7;(162):10.3791/61366. doi: 10.3791/61366.","Xie X","J Vis Exp","2020","2020/08/25","PMC7519758","NIHMS1629376","10.3791/61366"
"29369536","Systems biology of embryonic development: Prospects for a complete understanding of the Caenorhabditis elegans embryo","Murray JI.","Wiley Interdiscip Rev Dev Biol. 2018 May;7(3):e314. doi: 10.1002/wdev.314. Epub 2018 Jan 25.","Murray JI","Wiley Interdiscip Rev Dev Biol","2018","2018/01/26","","","10.1002/wdev.314"
"25530493","Comparison of proteomic and metabolomic profiles of mutants of the mitochondrial respiratory chain in Caenorhabditis elegans","Morgan PG, Higdon R, Kolker N, Bauman AT, Ilkayeva O, Newgard CB, Kolker E, Steele LM, Sedensky MM.","Mitochondrion. 2015 Jan;20:95-102. doi: 10.1016/j.mito.2014.12.004. Epub 2014 Dec 19.","Morgan PG","Mitochondrion","2015","2014/12/23","PMC4305019","NIHMS650766","10.1016/j.mito.2014.12.004"
"32084377","A Conserved Mito-Cytosolic Translational Balance Links Two Longevity Pathways","Molenaars M, Janssens GE, Williams EG, Jongejan A, Lan J, Rabot S, Joly F, Moerland PD, Schomakers BV, Lezzerini M, Liu YJ, McCormick MA, Kennedy BK, van Weeghel M, van Kampen AHC, Aebersold R, MacInnes AW, Houtkooper RH.","Cell Metab. 2020 Mar 3;31(3):549-563.e7. doi: 10.1016/j.cmet.2020.01.011. Epub 2020 Feb 20.","Molenaars M","Cell Metab","2020","2020/02/22","PMC7214782","NIHMS1569017","10.1016/j.cmet.2020.01.011"
"30892277","A comparison of the mitochondrial proteome and lipidome in the mouse and long-lived Pipistrelle bats","Pollard AK, Ingram TL, Ortori CA, Shephard F, Brown M, Liddell S, Barrett DA, Chakrabarti L.","Aging (Albany NY). 2019 Mar 19;11(6):1664-1685. doi: 10.18632/aging.101861.","Pollard AK","Aging (Albany NY)","2019","2019/03/21","PMC6461166","","10.18632/aging.101861"
"34952153","Subsequent infection differentially affects the proteome of Caenorhabditis elegans by abrogating the intestinal cell proliferation","Udayakumar P, Krishnaswamy B.","Microb Pathog. 2022 Jan;162:105350. doi: 10.1016/j.micpath.2021.105350. Epub 2021 Dec 21.","Udayakumar P","Microb Pathog","2022","2021/12/24","","","10.1016/j.micpath.2021.105350"
"10592185","The yeast proteome database (YPD) and Caenorhabditis elegans proteome database (WormPD): comprehensive resources for the organization and comparison of model organism protein information","Costanzo MC, Hogan JD, Cusick ME, Davis BP, Fancher AM, Hodges PE, Kondu P, Lengieza C, Lew-Smith JE, Lingner C, Roberg-Perez KJ, Tillberg M, Brooks JE, Garrels JI.","Nucleic Acids Res. 2000 Jan 1;28(1):73-6. doi: 10.1093/nar/28.1.73.","Costanzo MC","Nucleic Acids Res","2000","1999/12/11","PMC102421","","10.1093/nar/28.1.73"
"17890650","Dihydroxyacetone-induced death is accompanied by advanced glycation endproduct formation in selected proteins of Saccharomyces cerevisiae and Caenorhabditis elegans","Molin M, Pilon M, Blomberg A.","Proteomics. 2007 Oct;7(20):3764-74. doi: 10.1002/pmic.200700165.","Molin M","Proteomics","2007","2007/09/25","","","10.1002/pmic.200700165"
"17854888","Ca(2+)/Calmodulin-binding proteins from the C. elegans proteome","Shen X, Valencia CA, Gao W, Cotten SW, Dong B, Huang BC, Liu R.","Cell Calcium. 2008 May;43(5):444-56. doi: 10.1016/j.ceca.2007.07.008. Epub 2007 Sep 12.","Shen X","Cell Calcium","2008","2007/09/15","","","10.1016/j.ceca.2007.07.008"
"11433035","SPINE: an integrated tracking database and data mining approach for identifying feasible targets in high-throughput structural proteomics","Bertone P, Kluger Y, Lan N, Zheng D, Christendat D, Yee A, Edwards AM, Arrowsmith CH, Montelione GT, Gerstein M.","Nucleic Acids Res. 2001 Jul 1;29(13):2884-98. doi: 10.1093/nar/29.13.2884.","Bertone P","Nucleic Acids Res","2001","2001/07/04","PMC55760","","10.1093/nar/29.13.2884"
"16785326","Identification of novel chondroitin proteoglycans in Caenorhabditis elegans: embryonic cell division depends on CPG-1 and CPG-2","Olson SK, Bishop JR, Yates JR, Oegema K, Esko JD.","J Cell Biol. 2006 Jun 19;173(6):985-94. doi: 10.1083/jcb.200603003.","Olson SK","J Cell Biol","2006","2006/06/21","PMC2063922","","10.1083/jcb.200603003"
"24002365","Reduced insulin/insulin-like growth factor-1 signaling and dietary restriction inhibit translation but preserve muscle mass in Caenorhabditis elegans","Depuydt G, Xie F, Petyuk VA, Shanmugam N, Smolders A, Dhondt I, Brewer HM, Camp DG 2nd, Smith RD, Braeckman BP.","Mol Cell Proteomics. 2013 Dec;12(12):3624-39. doi: 10.1074/mcp.M113.027383. Epub 2013 Sep 3.","Depuydt G","Mol Cell Proteomics","2013","2013/09/05","PMC3861712","","10.1074/mcp.M113.027383"
"35124023","p38-MAPK recruits the proteolytic pathways in Caenorhabditis elegans during bacterial infection","Balasubramaniam B, Vinitha T, Meenal S, VenkataKrishna LM, Ravichandiran V, Balamurugan K.","Int J Biol Macromol. 2022 Apr 15;204:116-135. doi: 10.1016/j.ijbiomac.2022.01.191. Epub 2022 Feb 3.","Balasubramaniam B","Int J Biol Macromol","2022","2022/02/06","","","10.1016/j.ijbiomac.2022.01.191"
"28033361","The Role of Mitochondrial Non-Enzymatic Protein Acylation in Ageing","Hong SY, Ng LT, Ng LF, Inoue T, Tolwinski NS, Hagen T, Gruber J.","PLoS One. 2016 Dec 29;11(12):e0168752. doi: 10.1371/journal.pone.0168752. eCollection 2016.","Hong SY","PLoS One","2016","2016/12/30","PMC5199114","","10.1371/journal.pone.0168752"
"26351692","Caenorhabditis elegans ALG-1 antimorphic mutations uncover functions for Argonaute in microRNA guide strand selection and passenger strand disposal","Zinovyeva AY, Veksler-Lublinsky I, Vashisht AA, Wohlschlegel JA, Ambros VR.","Proc Natl Acad Sci U S A. 2015 Sep 22;112(38):E5271-80. doi: 10.1073/pnas.1506576112. Epub 2015 Sep 8.","Zinovyeva AY","Proc Natl Acad Sci U S A","2015","2015/09/10","PMC4586838","","10.1073/pnas.1506576112"
"19670372","Proteomic analysis of mitochondria from Caenorhabditis elegans","Li J, Cai T, Wu P, Cui Z, Chen X, Hou J, Xie Z, Xue P, Shi L, Liu P, Yates JR 3rd, Yang F.","Proteomics. 2009 Oct;9(19):4539-53. doi: 10.1002/pmic.200900101.","Li J","Proteomics","2009","2009/08/12","","","10.1002/pmic.200900101"
"26999449","SAFER, an Analysis Method of Quantitative Proteomic Data, Reveals New Interactors of the C. elegans Autophagic Protein LGG-1","Yi Z, Manil-Ségalen M, Sago L, Glatigny A, Redeker V, Legouis R, Mucchielli-Giorgi MH.","J Proteome Res. 2016 May 6;15(5):1515-23. doi: 10.1021/acs.jproteome.5b01158. Epub 2016 Apr 6.","Yi Z","J Proteome Res","2016","2016/03/22","","","10.1021/acs.jproteome.5b01158"
"25088050","SKIP and BIR-1/Survivin have potential to integrate proteome status with gene expression","Kostrouch D, Kostrouchová M, Yilma P, Chughtai AA, Novotný JP, Novák P, Kostrouchová V, Kostrouchová M, Kostrouch Z.","J Proteomics. 2014 Oct 14;110:93-106. doi: 10.1016/j.jprot.2014.07.023. Epub 2014 Aug 1.","Kostrouch D","J Proteomics","2014","2014/08/05","","","10.1016/j.jprot.2014.07.023"
"34315882","Insulin signaling regulates longevity through protein phosphorylation in Caenorhabditis elegans","Li WJ, Wang CW, Tao L, Yan YH, Zhang MJ, Liu ZX, Li YX, Zhao HQ, Li XM, He XD, Xue Y, Dong MQ.","Nat Commun. 2021 Jul 27;12(1):4568. doi: 10.1038/s41467-021-24816-z.","Li WJ","Nat Commun","2021","2021/07/28","PMC8316574","","10.1038/s41467-021-24816-z"
"22757771","Quantitative proteome analysis reveals RNA processing factors as modulators of ionizing radiation-induced apoptosis in the C. elegans germline","Tomazella GG, Kassahun H, Nilsen H, Thiede B.","J Proteome Res. 2012 Aug 3;11(8):4277-88. doi: 10.1021/pr300386z. Epub 2012 Jul 23.","Tomazella GG","J Proteome Res","2012","2012/07/05","","","10.1021/pr300386z"
"37818754","Cronobacter sakazakii infection implicates multifaceted neuro-immune regulatory pathways of Caenorhabditis elegans","VenkataKrishna LM, Balasubramaniam B, Sushmitha TJ, Ravichandiran V, Balamurugan K.","Mol Omics. 2024 Jan 15;20(1):48-63. doi: 10.1039/d3mo00167a.","VenkataKrishna LM","Mol Omics","2024","2023/10/11","","","10.1039/d3mo00167a"
"31498079","Evolution of Yin and Yang isoforms of a chromatin remodeling subunit precedes the creation of two genes","Xu W, Long L, Zhao Y, Stevens L, Felipe I, Munoz J, Ellis RE, McGrath PT.","Elife. 2019 Sep 9;8:e48119. doi: 10.7554/eLife.48119.","Xu W","Elife","2019","2019/09/10","PMC6752949","","10.7554/eLife.48119"
"31972373","MMPdb and MitoPredictor: Tools for facilitating comparative analysis of animal mitochondrial proteomes","Muthye V, Kandoi G, Lavrov DV.","Mitochondrion. 2020 Mar;51:118-125. doi: 10.1016/j.mito.2020.01.001. Epub 2020 Jan 20.","Muthye V","Mitochondrion","2020","2020/01/24","","","10.1016/j.mito.2020.01.001"
"10870962","Profiling of Caenorhabditis elegans proteins using two-dimensional gel electrophoresis and matrix assisted laser desorption/ionization-time of flight-mass spectrometry","Kaji H, Tsuji T, Mawuenyega KG, Wakamiya A, Taoka M, Isobe T.","Electrophoresis. 2000 May;21(9):1755-65. doi: 10.1002/(SICI)1522-2683(20000501)21:9<1755::AID-ELPS1755>3.0.CO;2-S.","Kaji H","Electrophoresis","2000","2000/06/28","","","10.1002/(SICI)1522-2683(20000501)21:9<1755::AID-ELPS1755>3.0.CO;2-S"
"17673661","Quantitative mass spectrometry identifies insulin signaling targets in C. elegans","Dong MQ, Venable JD, Au N, Xu T, Park SK, Cociorva D, Johnson JR, Dillin A, Yates JR 3rd.","Science. 2007 Aug 3;317(5838):660-3. doi: 10.1126/science.1139952.","Dong MQ","Science","2007","2007/08/04","","","10.1126/science.1139952"
"23802565","Proteogenomic database construction driven from large scale RNA-seq data","Woo S, Cha SW, Merrihew G, He Y, Castellana N, Guest C, MacCoss M, Bafna V.","J Proteome Res. 2014 Jan 3;13(1):21-8. doi: 10.1021/pr400294c. Epub 2013 Jul 17.","Woo S","J Proteome Res","2014","2013/06/28","PMC4034692","NIHMS506026","10.1021/pr400294c"
"21191815","Regulation of sperm-specific proteins by IFE-1, a germline-specific homolog of eIF4E, in C. elegans","Kawasaki I, Jeong MH, Shim YH.","Mol Cells. 2011 Feb;31(2):191-7. doi: 10.1007/s10059-011-0021-y. Epub 2010 Dec 22.","Kawasaki I","Mol Cells","2011","2010/12/31","PMC3932688","","10.1007/s10059-011-0021-y"
"21095586","Pervasive and cooperative deadenylation of 3'UTRs by embryonic microRNA families","Wu E, Thivierge C, Flamand M, Mathonnet G, Vashisht AA, Wohlschlegel J, Fabian MR, Sonenberg N, Duchaine TF.","Mol Cell. 2010 Nov 24;40(4):558-70. doi: 10.1016/j.molcel.2010.11.003.","Wu E","Mol Cell","2010","2010/11/25","PMC3698950","NIHMS479648","10.1016/j.molcel.2010.11.003"
"34397058","DAF-16 acts as the ""hub"" of astaxanthin's anti-aging mechanism to improve aging-related physiological functions in Caenorhabditis elegans","Liu X, Liu H, Chen Z, Xiao J, Cao Y.","Food Funct. 2021 Oct 4;12(19):9098-9110. doi: 10.1039/d1fo01069g.","Liu X","Food Funct","2021","2021/08/16","","","10.1039/d1fo01069g"
"35139369","Neuropeptide signaling and SKN-1 orchestrate differential responses of the proteostasis network to dissimilar proteotoxic insults","Boocholez H, Marques FC, Levine A, Roitenberg N, Siddiqui AA, Zhu H, Moll L, Grushko D, Haimson RB, Elami T, Cohen E.","Cell Rep. 2022 Feb 8;38(6):110350. doi: 10.1016/j.celrep.2022.110350.","Boocholez H","Cell Rep","2022","2022/02/09","","","10.1016/j.celrep.2022.110350"
"27072109","Role of DAF-21protein in Caenorhabditis elegans immunity against Proteus mirabilis infection","JebaMercy G, Durai S, Prithika U, Marudhupandiyan S, Dasauni P, Kundu S, Balamurugan K.","J Proteomics. 2016 Aug 11;145:81-90. doi: 10.1016/j.jprot.2016.03.047. Epub 2016 Apr 9.","JebaMercy G","J Proteomics","2016","2016/04/14","","","10.1016/j.jprot.2016.03.047"
"14761308","Functional genomic approaches using the nematode Caenorhabditis elegans as a model system","Lee J, Nam S, Hwang SB, Hong M, Kwon JY, Joeng KS, Im SH, Shim J, Park MC.","J Biochem Mol Biol. 2004 Jan 31;37(1):107-13. doi: 10.5483/bmbrep.2004.37.1.107.","Lee J","J Biochem Mol Biol","2004","2004/02/06","","","10.5483/bmbrep.2004.37.1.107"
"31133760","Prosit: proteome-wide prediction of peptide tandem mass spectra by deep learning","Gessulat S, Schmidt T, Zolg DP, Samaras P, Schnatbaum K, Zerweck J, Knaute T, Rechenberger J, Delanghe B, Huhmer A, Reimer U, Ehrlich HC, Aiche S, Kuster B, Wilhelm M.","Nat Methods. 2019 Jun;16(6):509-518. doi: 10.1038/s41592-019-0426-7. Epub 2019 May 27.","Gessulat S","Nat Methods","2019","2019/05/29","","","10.1038/s41592-019-0426-7"
"32568253","Using Caenorhabditis elegans to Screen for Tissue-Specific Chaperone Interactions","Dror S, Meidan TD, Karady I, Ben-Zvi A.","J Vis Exp. 2020 Jun 7;(160). doi: 10.3791/61140.","Dror S","J Vis Exp","2020","2020/06/23","","","10.3791/61140"
"22923814","Phosphoproteome of Pristionchus pacificus provides insights into architecture of signaling networks in nematode models","Borchert N, Krug K, Gnad F, Sinha A, Sommer RJ, Macek B.","Mol Cell Proteomics. 2012 Dec;11(12):1631-9. doi: 10.1074/mcp.M112.022103. Epub 2012 Aug 25.","Borchert N","Mol Cell Proteomics","2012","2012/08/28","PMC3518110","","10.1074/mcp.M112.022103"
"18443013","Studying gene function in Caenorhabditis elegans using RNA-mediated interference","Maine EM.","Brief Funct Genomic Proteomic. 2008 May;7(3):184-94. doi: 10.1093/bfgp/eln019. Epub 2008 Apr 28.","Maine EM","Brief Funct Genomic Proteomic","2008","2008/04/30","","","10.1093/bfgp/eln019"
"35771142","Digital Microfluidics Supported Microproteomics for Quantitative Proteome Analysis of Single Caenorhabditis elegans Nematodes","Steinbach MK, Leipert J, Blurton C, Leippe M, Tholey A.","J Proteome Res. 2022 Aug 5;21(8):1986-1996. doi: 10.1021/acs.jproteome.2c00274. Epub 2022 Jun 30.","Steinbach MK","J Proteome Res","2022","2022/06/30","","","10.1021/acs.jproteome.2c00274"
"36748112","Extending the Range of SLIM-Labeling Applications: From Human Cell Lines in Culture to Caenorhabditis elegans Whole-Organism Labeling","Lignieres L, Sénécaut N, Dang T, Bellutti L, Hamon M, Terrier S, Legros V, Chevreux G, Lelandais G, Mège RM, Dumont J, Camadro JM.","J Proteome Res. 2023 Mar 3;22(3):996-1002. doi: 10.1021/acs.jproteome.2c00699. Epub 2023 Feb 6.","Lignieres L","J Proteome Res","2023","2023/02/07","PMC9990122","","10.1021/acs.jproteome.2c00699"
"31904835","Reduced Translational Efficiency of Eukaryotic Genes after Duplication Events","Chang AY, Liao BY.","Mol Biol Evol. 2020 May 1;37(5):1452-1461. doi: 10.1093/molbev/msz309.","Chang AY","Mol Biol Evol","2020","2020/01/07","","","10.1093/molbev/msz309"
"27109352","Proteome analysis reveals translational inhibition of Caenorhabditis elegans enhances susceptibility to Pseudomonas aeruginosa PAO1 pathogenesis","Balasubramanian V, Sellegounder D, Suman K, Krishnaswamy B.","J Proteomics. 2016 Aug 11;145:141-152. doi: 10.1016/j.jprot.2016.04.025. Epub 2016 Apr 21.","Balasubramanian V","J Proteomics","2016","2016/04/26","","","10.1016/j.jprot.2016.04.025"
"15221760","Evidence of glutathione transferase complexing and signaling in the model nematode Caenorhabditis elegans using a pull-down proteomic assay","Greetham D, Morgan C, Campbell AM, van Rossum AJ, Barrett J, Brophy PM.","Proteomics. 2004 Jul;4(7):1989-95. doi: 10.1002/pmic.200300719.","Greetham D","Proteomics","2004","2004/06/29","","","10.1002/pmic.200300719"
"16317777","Protein interaction networks of Saccharomyces cerevisiae, Caenorhabditis elegans and Drosophila melanogaster: large-scale organization and robustness","Li D, Li J, Ouyang S, Wang J, Wu S, Wan P, Zhu Y, Xu X, He F.","Proteomics. 2006 Jan;6(2):456-61. doi: 10.1002/pmic.200500228.","Li D","Proteomics","2006","2005/12/01","","","10.1002/pmic.200500228"
"31892536","Proteome-wide observation of the phenomenon of life on the edge of solubility","Vecchi G, Sormanni P, Mannini B, Vandelli A, Tartaglia GG, Dobson CM, Hartl FU, Vendruscolo M.","Proc Natl Acad Sci U S A. 2020 Jan 14;117(2):1015-1020. doi: 10.1073/pnas.1910444117. Epub 2019 Dec 31.","Vecchi G","Proc Natl Acad Sci U S A","2020","2020/01/02","PMC6969518","","10.1073/pnas.1910444117"
"33608539","Deep learning the collisional cross sections of the peptide universe from a million experimental values","Meier F, Köhler ND, Brunner AD, Wanka JH, Voytik E, Strauss MT, Theis FJ, Mann M.","Nat Commun. 2021 Feb 19;12(1):1185. doi: 10.1038/s41467-021-21352-8.","Meier F","Nat Commun","2021","2021/02/20","PMC7896072","","10.1038/s41467-021-21352-8"
"38003352","Multiomics of GCN4-Dependent Replicative Lifespan Extension Models Reveals Gcn4 as a Regulator of Protein Turnover in Yeast","Mariner BL, Felker DP, Cantergiani RJ, Peterson J, McCormick MA.","Int J Mol Sci. 2023 Nov 10;24(22):16163. doi: 10.3390/ijms242216163.","Mariner BL","Int J Mol Sci","2023","2023/11/25","PMC10671045","","10.3390/ijms242216163"
"34917984","A metabolic labeling protocol to enrich myristoylated proteins from Caenorhabditis elegans","Gong X, Feng Y, Tang H.","STAR Protoc. 2021 Dec 9;2(4):101013. doi: 10.1016/j.xpro.2021.101013. eCollection 2021 Dec 17.","Gong X","STAR Protoc","2021","2021/12/17","PMC8666704","","10.1016/j.xpro.2021.101013"
"19615410","The complexity of the secreted NPA and FAR lipid-binding protein families of Haemonchus contortus revealed by an iterative proteomics-bioinformatics approach","Kuang L, Colgrave ML, Bagnall NH, Knox MR, Qian M, Wijffels G.","Mol Biochem Parasitol. 2009 Nov;168(1):84-94. doi: 10.1016/j.molbiopara.2009.07.001. Epub 2009 Jul 15.","Kuang L","Mol Biochem Parasitol","2009","2009/07/21","","","10.1016/j.molbiopara.2009.07.001"
"30858176","A complex containing the O-GlcNAc transferase OGT-1 and the ubiquitin ligase EEL-1 regulates GABA neuron function","Giles AC, Desbois M, Opperman KJ, Tavora R, Maroni MJ, Grill B.","J Biol Chem. 2019 Apr 26;294(17):6843-6856. doi: 10.1074/jbc.RA119.007406. Epub 2019 Mar 11.","Giles AC","J Biol Chem","2019","2019/03/13","PMC6497937","","10.1074/jbc.RA119.007406"
"30086719","Proteomic and evolutionary analyses of sperm activation identify uncharacterized genes in Caenorhabditis nematodes","Kasimatis KR, Moerdyk-Schauwecker MJ, Timmermeyer N, Phillips PC.","BMC Genomics. 2018 Aug 7;19(1):593. doi: 10.1186/s12864-018-4980-7.","Kasimatis KR","BMC Genomics","2018","2018/08/09","PMC6081950","","10.1186/s12864-018-4980-7"
"20735070","Training, selection, and robust calibration of retention time models for targeted proteomics","Moruz L, Tomazela D, Käll L.","J Proteome Res. 2010 Oct 1;9(10):5209-16. doi: 10.1021/pr1005058.","Moruz L","J Proteome Res","2010","2010/08/26","","","10.1021/pr1005058"
"31911194","Modulation of the host cell mitochondrial proteome by PemK(Sa) toxin protein exposure","Mir DA, Balamurugan K.","Microb Pathog. 2020 Mar;140:103963. doi: 10.1016/j.micpath.2020.103963. Epub 2020 Jan 3.","Mir DA","Microb Pathog","2020","2020/01/09","","","10.1016/j.micpath.2020.103963"
"31777284","Physiological and proteomic analysis of Stenotrophomonas maltophilia grown under the iron-limited condition","Azman A, Vasodavan K, Joseph N, Kumar S, Hamat RA, Nordin SA, Aizat WM, van Belkum A, Neela VK.","Future Microbiol. 2019 Nov;14:1417-1428. doi: 10.2217/fmb-2019-0174. Epub 2019 Nov 28.","Azman A","Future Microbiol","2019","2019/11/29","","","10.2217/fmb-2019-0174"
"36265737","6-Methylcoumarin rescues bacterial quorum sensing induced ribosome-inactivating stress in Caenorhabditis elegans","Ramesh P, Bajire SK, Kanichery A, Najar MA, Shastry RP, Prasad TSK.","Microb Pathog. 2022 Dec;173(Pt A):105833. doi: 10.1016/j.micpath.2022.105833. Epub 2022 Oct 17.","Ramesh P","Microb Pathog","2022","2022/10/20","","","10.1016/j.micpath.2022.105833"
"29967062","Quantifying compartment-associated variations of protein abundance in proteomics data","Parca L, Beck M, Bork P, Ori A.","Mol Syst Biol. 2018 Jul 2;14(7):e8131. doi: 10.15252/msb.20178131.","Parca L","Mol Syst Biol","2018","2018/07/04","PMC6056770","","10.15252/msb.20178131"
"33831597","Proteomic analysis of Caenorhabditis elegans wound model reveals novel molecular players involved in repair","Pooranachithra M, Satheesh Kumar C, Bhaskar JP, Venkateswaran K, Ravichandiran V, Balamurugan K.","J Proteomics. 2021 May 30;240:104222. doi: 10.1016/j.jprot.2021.104222. Epub 2021 Apr 5.","Pooranachithra M","J Proteomics","2021","2021/04/08","","","10.1016/j.jprot.2021.104222"
"39979652","Phosphorylated glycosphingolipids are commonly detected in Caenorhabditis elegans lipidomes","Witting M, Salzer L, Meyer SW, Barsch A.","Metabolomics. 2025 Feb 20;21(2):29. doi: 10.1007/s11306-024-02216-w.","Witting M","Metabolomics","2025","2025/02/20","PMC11842410","","10.1007/s11306-024-02216-w"
