"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Sea anemone genome reveals the gene repertoire and genomicorganization of the eumetazoan ancestor","Putnam, Nicholas H; Srivastava, Mansi; Hellsten, Uffe; Dirks, Bill; Chapman, Jarrod; Salamov, Asaf; Terry, Astrid; Shapiro, Harris; Lindquist, Erika; Kapitonov, Vladimir V; Jurka, Jerzy; Genikhovich, Grigory; Grigoriev, Igor; JGI Sequencing Team; Steele, Robert E; Finnerty, John; Technau, Ulrich; Martindale, Mark Q; Rokhsar, Daniel S","59; GENES; SEAS; LAWRENCE BERKELEY LABORATORY; Sea anenome genome","No abstract provided.","","","Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","USDOE Director. Office of Science. Office of AdvancedScientific Computing Research. Office of Biological and EnvironmentalResearch, Lawrence Livermore National Laboratory, Los Alamos NationalLaboratory; National Institutes of Health Grant 5 P41 LM006252-08; Gordonand Betty Moore Foundation","","United States","2007-01-01T05:00:00Z","English","Journal Article","","Journal Name: Science; Journal Volume: 317; Journal Issue: 5834; Related Information: Journal Publication Date: 07/06/2007","","Medium: ED","","LBNL-62227","DE-AC02-05CH11231","Journal ID: ISSN 0193-4511; SCEHDK; R&D Project: 626879; BnR: KP1103010; TRN: US200724%%264","10.1126/science.1139158","","2009-12-16T05:00:00Z","910591","https://www.osti.gov/biblio/910591","https://www.osti.gov/servlets/purl/910591","Science","5834","317"
"Enhanced Cellulose Degradation Using Cellulase-Nanosphere Complexes","Blanchette, Craig; Lacayo, Catherine I.; Fischer, Nicholas O.; Hwang, Mona; Thelen, Michael P.","59 BASIC BIOLOGICAL SCIENCES; Science & Technology - Other Topics","Enzyme catalyzed conversion of plant biomass to sugars is an inherently inefficient process, and one of the major factors limiting economical biofuel production. This is due to the physical barrier presented by polymers in plant cell walls, including semi-crystalline cellulose, to soluble enzyme accessibility. In contrast to the enzymes currently used in industry, bacterial cellulosomes organize cellulases and other proteins in a scaffold structure, and are highly efficient in degrading cellulose. To mimic this clustered assembly of enzymes, we conjugated cellulase obtained from Trichoderma viride to polystyrene nanospheres (cellulase:NS) and tested the hydrolytic activity of this complex on cellulose substrates from purified and natural sources. Cellulase:NS and free cellulase were equally active on soluble carboxymethyl cellulose (CMC); however, the complexed enzyme displayed a higher affinity in its action on microcrystalline cellulose. Similarly, we found that the cellulase:NS complex was more efficient in degrading natural cellulose structures in the thickened walls of cultured wood cells. These results suggest that nanoparticle-bound enzymes can improve catalytic efficiency on physically intractable substrates. We discuss the potential for further enhancement of cellulose degradation by physically clustering combinations of different glycosyl hydrolase enzymes, and applications for using cellulase:NS complexes in biofuel production.","Public Library of Science","","Lawrence Livermore National Laboratory (LLNL), Livermore, CA (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER). Biological Systems Science Division","","United States","2012-08-01T04:00:00Z","English","Journal Article","","Journal Name: PLoS ONE; Journal Volume: 7; Journal Issue: 8","","Medium: ED; Size: Article No. e42116","","","AC52-07NA27344","Journal ID: ISSN 1932-6203","10.1371/journal.pone.0042116","","2023-07-03T04:00:00Z","1627540","https://www.osti.gov/biblio/1627540","https://www.osti.gov/servlets/purl/1627540","PLoS ONE","8","7"
"Biological impacts and context of network theory","Almaas, E","59 BASIC BIOLOGICAL SCIENCES; AVAILABILITY; FOOD; GENES; INTERNET; METABOLISM; PROTEINS","Many complex systems can be represented and analyzed as networks, and examples that have benefited from this approach span the natural sciences. For instance, we now know that systems as disparate as the World-Wide Web, the Internet, scientific collaborations, food webs, protein interactions and metabolism all have common features in their organization, the most salient of which are their scale-free connectivity distributions and their small-world behavior. The recent availability of large scale datasets that span the proteome or metabolome of an organism have made it possible to elucidate some of the organizational principles and rules that govern their function, robustness and evolution. We expect that combining the currently separate layers of information from gene regulatory-, signal transduction-, protein interaction- and metabolic networks will dramatically enhance our understanding of cellular function and dynamics.","","","Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)","USDOE","","United States","2007-01-05T05:00:00Z","English","Journal Article","","Journal Name: Journal of Experimental Biology; Journal Volume: 210","","Medium: ED; Size: PDF-file: 42 pages; size: 0.4 Mbytes","","UCRL-JRNL-227407","W-7405-ENG-48","Journal ID: ISSN 0022-0949; JEBIAM; TRN: US200821%%185","10.1242/jeb.003731","","2021-04-29T04:00:00Z","936985","https://www.osti.gov/biblio/936985","https://www.osti.gov/servlets/purl/936985","Journal of Experimental Biology","","210"
"International Conference on Intelligent Systems for Molecular Biology (ISMB)","Goldberg, Debra; Hibbs, Matthew; Kall, Lukas; Komandurglayavilli, Ravikumar; Mahony, Shaun; Marinescu, Voichita; Mayrose, Itay; Minin, Vladimir; Neeman, Yossef; Nimrod, Guy; Novotny, Marian; Opiyo, Stephen; Portugaly, Elon; Sadka, Tali; Sakabe, Noboru; Sarkar, Indra; Schaub, Marc; Shafer, Paul; Shmygelska, Olena; Singer, Gregory; Song, Yun; Soumyaroop, Bhattacharya; Stadler, Michael; Strope, Pooja; Su, Rong; Tabach, Yuval; Tae, Hongseok; Taylor, Todd; Terribilini, Michael; Thomas, Asha; Tran, Nam; Tseng, Tsai-Tien; Vashist, Akshay; Vijaya, Parthiban; Wang, Kai; Wang, Ting; Wei, Lai; Woo, Yong; Wu, Chunlei; Yamanishi, Yoshihiro; Yan, Changhui; Yang, Jack; Yang, Mary; Ye, Ping; Zhang, Miao","59 BASIC BIOLOGICAL SCIENCES; 97 MATHEMATICS AND COMPUTING","The Intelligent Systems for Molecular Biology (ISMB) conference has provided a general forum for disseminating the latest developments in bioinformatics on an annual basis for the past 13 years. ISMB is a multidisciplinary conference that brings together scientists from computer science, molecular biology, mathematics and statistics. The goal of the ISMB meeting is to bring together biologists and computational scientists in a focus on actual biological problems, i.e., not simply theoretical calculations. The combined focus on ""intelligent systems"" and actual biological data makes ISMB a unique and highly important meeting, and 13 years of experience in holding the conference has resulted in a consistently well organized, well attended, and highly respected annual conference. The ISMB 2005 meeting was held June 25-29, 2005 at the Renaissance Center in Detroit, Michigan. The meeting attracted over 1,730 attendees. The science presented was exceptional, and in the course of the five-day meeting, 56 scientific papers, 710 posters, 47 Oral Abstracts, 76 Software demonstrations, and 14 tutorials were presented. The attendees represented a broad spectrum of backgrounds with 7% from commercial companies, over 28% qualifying for student registration, and 41 countries were represented at the conference, emphasizing its important international aspect. The ISMB conference is especially important because the cultures of computer science and biology are so disparate. ISMB, as a full-scale technical conference with refereed proceedings that have been indexed by both MEDLINE and Current Contents since 1996, bridges this cultural gap.","","","INTERNATIONAL SOCIETY FOR COMPUTATIONAL BIOLOGY (ISCB)","USDOE","","United States","2009-12-29T05:00:00Z","English","Conference","","Conference: ISMB 2005, Detroit, MI (United States), 2-29 Jun 2005","","Medium: ED; Size: 6 p.","","DOE-ISBC-63568- Final Report","FG02-03ER63568","","","","2016-11-18T05:00:00Z","969678","https://www.osti.gov/biblio/969678","https://www.osti.gov/servlets/purl/969678","","",""
"The 13th International Conference on Tetrapyrrole Photoreceptors of Photosynthetic Organisms (ICTPPO2017) program book","Yang, Xiaojing","59 BASIC BIOLOGICAL SCIENCES; Photosynthesis, Light harvesting, Tetrapyrrole","This program book serves as a technical report for the 13th International Conference on Tetrapyrrole Photoreceptors of Photosynthetic Organisms (ICTPPO2017), which took place in Chicago, July 9-13, 2017. This conference features eight scientific sessions that cover a wide range of topics on tetrapyrrole-based biological systems involved in light-harvesting, photosynthesis and their regulation. Each session starts with a plenary talk by a leading scientist in the field followed by 15-20 min short presentations. In terms of speaker selection, the organizers have placed special emphasis on featuring young scientists including early-career scientists, postdoc researchers and graduate students. All activities beyond oral presentations i.e. social events, meal times, poster sessions and excursion were planned to promote informal discussion and mentoring of young scientists.","","","Univeristy of Illinois at Chicago","USDOE Office of Science (SC), Basic Energy Sciences (BES). Chemical Sciences, Geosciences, and Biosciences Division","University of Illinois at Chicago","United States","2017-07-09T04:00:00Z","English","Conference","","Conference: Title: THE 13TH INTERNATIONAL CONFERENCE ON TETRAPYRROLE PHOTORECEPTORS OF PHOTOSYNTHETIC ORGANISMS (ICTPPO2017) Location: THE HYATT LODGE AT MCDONALD’S CAMPUS, 2815 JORIE BOULEVARD, OAK BROOK, IL 60523 Date: July 9-13","","Medium: ED","","DOE-UIC-SC0018101","SC0018101","","","","2020-01-28T05:00:00Z","1473981","https://www.osti.gov/biblio/1473981","https://www.osti.gov/servlets/purl/1473981","","",""
"Polysaccharide associated protein (PSAP) from the green microalga Botryococcus braunii is a unique extracellular matrix hydroxyproline-rich glycoprotein","Tatli, Mehmet; Ishihara, Mayumi; Heiss, Christian; Browne, Daniel R.; Dangott, Lawrence J.; Vitha, Stanislav; Azadi, Parastoo; Devarenne, Timothy P.","","","Elsevier","","","USDOE Office of Science (SC), Basic Energy Sciences (BES)","","United States","2018-01-01T05:00:00Z","English","Journal Article","","Journal Name: Algal Research Journal Volume: 29 Journal Issue: C","","Medium: X; Size: p. 92-103","","","SC0015662","Journal ID: ISSN 2211-9264; S2211926417307658; PII: S2211926417307658","10.1016/j.algal.2017.11.018","","2021-04-30T04:00:00Z","1496473","https://www.osti.gov/biblio/1496473","","Algal Research","C","29"
"Allostery and Hysteresis Are Coupled in Human UDP-Glucose Dehydrogenase","Beattie, Nathaniel R.; Keul, Nicholas D.; Sidlo, Andrew M.; Wood, Zachary A.","59 BASIC BIOLOGICAL SCIENCES; 37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY; saturation; peptides and proteins; monomers; hysteresis; conformation","Human UDP-glucose dehydrogenase (hUGDH) is regulated by an atypical allosteric mechanism in which the feedback inhibitor UDP-xylose (UDP-Xyl) competes with the substrate for the active site. Binding of UDP-Xyl triggers the T131-loop/α6 allosteric switch, which converts the hexameric structure of hUGDH into an inactive, horseshoe-shaped complex (E<sup>Ω</sup>). This allosteric transition buries residue A136 in the protein core to produce a subunit interface that favors the E<sup>Ω</sup> structure. Here we use a methionine substitution to prevent the burial of A136 and trap the T131-loop/α6 switch in the active conformation. We show that hUGDH<sub>A136M</sub> does not exhibit substrate cooperativity, which is strong evidence that the methionine substitution prevents the formation of the low-UDP-Glc-affinity E<sup>Ω</sup> state. In addition, the inhibitor affinity of hUGDH<sub>A136M</sub> is reduced 14-fold, which most likely represents the K<sub>i</sub> for competitive inhibition in the absence of the allosteric transition to the higher-affinity E<sup>Ω</sup> state. hUGDH also displays a lag in progress curves, which is caused by a slow, substrate-induced isomerization that activates the enzyme. Stopped-flow analysis shows that hUGDH<sub>A136M</sub> does not exhibit hysteresis, which suggests that the T131-loop/α6 switch is the source of the slow isomerization. This interpretation is supported by the 2.05 Å resolution crystal structure of hUGDH<sub>A136M</sub>, which shows that the A136M substitution has stabilized the active conformation of the T131-loop/α6 allosteric switch. Furthermore, this work shows that the T131-loop/α6 allosteric switch couples allostery and hysteresis in hUGDH.","American Chemical Society (ACS)","","Argonne National Laboratory (ANL), Argonne, IL (United States)","National Inst. of Health","","United States","2016-12-14T05:00:00Z","ENGLISH","Journal Article","","Journal Name: Biochemistry; Journal Volume: 56; Journal Issue: 1","","Medium: ED; Size: p. 202-211","","","R01GM114298","Journal ID: ISSN 0006-2960","10.1021/acs.biochem.6b01044","","2023-06-26T04:00:00Z","1346223","https://www.osti.gov/biblio/1346223","https://www.osti.gov/servlets/purl/1346223","Biochemistry","1","56"
"Implications of structural genomics target selection strategies: Pfam5000, whole genome, and random approaches","Chandonia, John-Marc; Brenner, Steven E","59 BASIC BIOLOGICAL SCIENCES; FOCUSING; IMPLEMENTATION; PROTEINS; RESIDUES; SIMULATION; TARGETS; PFAM STRUCTURAL GENOMICS","The structural genomics project is an international effort to determine the three-dimensional shapes of all important biological macromolecules, with a primary focus on proteins. Target proteins should be selected according to a strategy which is medically and biologically relevant, of good value, and tractable. As an option to consider, we present the Pfam5000 strategy, which involves selecting the 5000 most important families from the Pfam database as sources for targets. We compare the Pfam5000 strategy to several other proposed strategies that would require similar numbers of targets. These include including complete solution of several small to moderately sized bacterial proteomes, partial coverage of the human proteome, and random selection of approximately 5000 targets from sequenced genomes. We measure the impact that successful implementation of these strategies would have upon structural interpretation of the proteins in Swiss-Prot, TrEMBL, and 131 complete proteomes (including 10 of eukaryotes) from the Proteome Analysis database at EBI. Solving the structures of proteins from the 5000 largest Pfam families would allow accurate fold assignment for approximately 68 percent of all prokaryotic proteins (covering 59 percent of residues) and 61 percent of eukaryotic proteins (40 percent of residues). More fine-grained coverage which would allow accurate modeling of these proteins would require an order of magnitude more targets. The Pfam5000 strategy may be modified in several ways, for example to focus on larger families, bacterial sequences, or eukaryotic sequences; as long as secondary consideration is given to large families within Pfam, coverage results vary only slightly. In contrast, focusing structural genomics on a single tractable genome would have only a limited impact in structural knowledge of other proteomes: a significant fraction (about 30-40 percent of the proteins, and 40-60 percent of the residues) of each proteome is classified in small families, which may have little overlap with other species of interest. Random selection of targets from one or more genomes is similar to the Pfam5000 strategy in that proteins from larger families are more likely to be chosen, but substantial effort would be spent on small families.","","OSTI as DE00836980","Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","National Institutes of Health (US)","","United States","2004-07-14T04:00:00Z","English","Journal Article","","Journal Name: PROTEINS: Structure, Function, and Bioinformatics; Journal Volume: 58; Journal Issue: 1; Other Information: Submitted to PROTEINS: Structure, Function, and Bioinformatics: Volume 58, No.1; Journal Publication Date: 01/01/2005; PBD: 14 Jul 2004","","Medium: ED; Size: vp.","","LBNL-55883","AC03-76SF00098","R&D Project: 864DJB; TRN: US200504%%424","10.1002/prot.20298","","2016-05-23T04:00:00Z","836980","https://www.osti.gov/biblio/836980","https://www.osti.gov/servlets/purl/836980","PROTEINS: Structure, Function, and Bioinformatics","1","58"
"P-coumaroyl-CoA:monolignol transferase","Wilkerson, Curtis; Ralph, John; Withers, Saunia; Sedbrook, John","","The invention relates to nucleic acids encoding a p-coumaroyl-CoA:monolignol transferase and to inhibitory nucleic acids adapted to inhibit the expression and/or translation of a p-coumaroyl-CoA:monolignol transferase RNA. Inhibition of p-coumaroyl-CoA:monolignol transferase in plants improves the incorporation of monolignol ferulates into the lignin of plants, giving rise to plant biomass that is more easily processed into useful products such as paper and biofuels.","","","Univ. of Wisconsin, Madison, WI (United States); Michigan State Univ., East Lansing, MI (United States); Illinois State University (ISU), Normal, IL (United States)","USDOE","","United States","2022-05-10T04:00:00Z","English","Patent","","Patent File Date: 08/14/2019","","Medium: ED","","11,326,178","FC02-07ER64494","","","Patent Assignee: Wisconsin Alumni Research Foundation (Madison, WI); Board of Trustees of Michigan State University (East Lansing, MI); The Board of Trustees of Illinois State University (East Lansing, MI)","2023-02-09T05:00:00Z","1892913","https://www.osti.gov/biblio/1892913","https://www.osti.gov/servlets/purl/1892913","","",""
"Genomes, Phylogeny, and Evolutionary Systems Biology","Medina, Monica","59 BASIC BIOLOGICAL SCIENCES; BIOCHEMISTRY; BIOLOGY; COMPUTERS; MOLECULAR BIOLOGY; PHYSICS; SHAPE; GENOMES PHYLOGENY EVOLUTIONARY SYSTEMS BIOLOGY","With the completion of the human genome and the growing number of diverse genomes being sequenced, a new age of evolutionary research is currently taking shape. The myriad of technological breakthroughs in biology that are leading to the unification of broad scientific fields such as molecular biology, biochemistry, physics, mathematics and computer science are now known as systems biology. Here I present an overview, with an emphasis on eukaryotes, of how the postgenomics era is adopting comparative approaches that go beyond comparisons among model organisms to shape the nascent field of evolutionary systems biology.","","OSTI as DE00841329","Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","USDOE Director. Office of Science. Office of Biological and Environmental Research; National Science Foundation Grant OCE 0313708 (US)","","United States","2005-03-25T05:00:00Z","English","Journal Article","","Journal Name: Proceedings of the National Academy of Sciences of the United States of America; Journal Volume: 102; Journal Issue: Sup. 1; Other Information: Submitted to Proceedings of the National Academy of Sciences of the United States of America: Volume 102, Sup.1; Journal Publication Date: 05/03/2005; PBD: 25 Mar 2005","","Medium: ED; Size: 26 pages","","LBNL-57355","AC03-76SF00098","R&D Project: Y00011; TRN: US200513%%584","10.1073/pnas.0501984102","","2016-04-21T04:00:00Z","841329","https://www.osti.gov/biblio/841329","https://www.osti.gov/servlets/purl/841329","Proceedings of the National Academy of Sciences of the United States of America","Sup. 1","102"
"Reprogramming Caspase-7 Specificity by Regio-Specific Mutations and Selection Provides Alternate Solutions for Substrate Recognition","Hill, Maureen E.; MacPherson, Derek J.; Wu, Peng; Julien, Olivier; Wells, James A.; Hardy, Jeanne A.","","","American Chemical Society (ACS)","","Argonne National Laboratory (ANL), Argonne, IL (United States). Advanced Photon Source (APS)","National Institutes of Health (NIH)","","United States","2016-03-31T04:00:00Z","ENGLISH","Journal Article","","Journal Name: ACS Chemical Biology; Journal Volume: 11; Journal Issue: 6","","Medium: X; Size: 1603-1612","","","","Journal ID: ISSN 1554-8929","10.1021/acschembio.5b00971","","2023-06-27T04:00:00Z","1426253","https://www.osti.gov/biblio/1426253","","ACS Chemical Biology","6","11"
"Update on the Pfam5000 Strategy for Selection of StructuralGenomics Targets","Chandonia, John-Marc; Brenner, Steven E","59 BASIC BIOLOGICAL SCIENCES; 60 APPLIED LIFE SCIENCES; BIOLOGY; MEDICINE; PRODUCTION; PROTEIN STRUCTURE; PROTEINS; RESIDUES; TARGETS","Structural Genomics is an international effort to determine the three-dimensional shapes of all important biological macromolecules, with a primary focus on proteins. Target proteins should be selected according to a strategy that is medically and biologically relevant, of good financial value, and tractable. In 2003, we presented the ''Pfam5000'' strategy, which involves selecting the 5,000 most important families from the Pfam database as sources for targets. In this update, we show that although both the Pfam database and the number of sequenced genomes have increased in size, the expected benefits of the Pfam5000 strategy have not changed substantially. Solving the structures of proteins from the 5,000 largest Pfam families would allow accurate fold assignment for approximately 65 percent of all prokaryotic proteins (covering 54 percent of residues) and 63 percent of eukaryotic proteins (42 percent of residues). Fewer than 2,300 of the largest families on this list remain to be solved, making the project feasible in the next five years given the expected throughput to be achieved in the production phase of the Protein Structure Initiative.","","","Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","USDOE; National Institutes of Health Grants 1-P50-GM62412and 1-K22-HG00056; Searle Scholars Program 01-L-116","","United States","2005-06-27T04:00:00Z","English","Conference","","Conference: 2005 IEEE Engineering in Medicine and Biology27th Annual Conference, Shanghai, China, September 1-4,2005","","Medium: ED","","LBNL-57924","DE-AC02-05CH11231","R&D Project: 864D2D; BnR: 400412000; TRN: US200611%%326","","","2008-02-05T05:00:00Z","878532","https://www.osti.gov/biblio/878532","https://www.osti.gov/servlets/purl/878532","","",""
"Gene-rich UV sex chromosomes harbor conserved regulators of sexual development","Carey, Sarah B.; Jenkins, Jerry; Lovell, John T.; Maumus, Florian; Sreedasyam, Avinash; Payton, Adam C.; Shu, Shengqiang; Tiley, George P.; Fernandez-Pozo, Noe; Healey, Adam; Barry, Kerrie; Chen, Cindy; Wang, Mei; Lipzen, Anna; Daum, Chris; Saski, Christopher A.; McBreen, Jordan C.; Conrad, Roth E.; Kollar, Leslie M.; Olsson, Sanna; Huttunen, Sanna; Landis, Jacob B.; Burleigh, J. Gordon; Wickett, Norman J.; Johnson, Matthew G.; Rensing, Stefan A.; Grimwood, Jane; Schmutz, Jeremy; McDaniel, Stuart F.","59 BASIC BIOLOGICAL SCIENCES","Nonrecombining sex chromosomes, like the mammalian Y, often lose genes and accumulate transposable elements, a process termed degeneration. The correlation between suppressed recombination and degeneration is clear in animal XY systems, but the absence of recombination is confounded with other asymmetries between the X and Y. In contrast, UV sex chromosomes, like those found in bryophytes, experience symmetrical population genetic conditions. Here, we generate nearly gapless female and male chromosome-scale reference genomes of the moss Ceratodon purpureus to test for degeneration in the bryophyte UV sex chromosomes. We show that the moss sex chromosomes evolved over 300 million years ago and expanded via two chromosomal fusions. Although the sex chromosomes exhibit weaker purifying selection than autosomes, we find that suppressed recombination alone is insufficient to drive degeneration. Instead, the U and V sex chromosomes harbor thousands of broadly expressed genes, including numerous key regulators of sexual development across land plants.","AAAS","","Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER); National Science Foundation (NSF); Emil Aaltonen Foundation; University of Turku; USDOE","","United States","2021-06-30T04:00:00Z","English","Journal Article","","Journal Name: Science Advances; Journal Volume: 7; Journal Issue: 27","","Medium: ED; Size: Article No. eabh2488","","","AC02-05CH11231","Journal ID: ISSN 2375-2548; ark:/13030/qt62v9f0w0","10.1126/sciadv.abh2488","","2021-09-23T04:00:00Z","1804603","https://www.osti.gov/biblio/1804603","","Science Advances","27","7"
"Genomic analysis of organismal complexity in the multicellular green alga Volvox carteri","Prochnik, Simon E; Umen, James; Nedelcu, Aurora; Hallmann, Armin; Miller, Stephen M; Nishii, Ichiro; Ferris, Patrick; Kuo, Alan; Mitros, Therese; Fritz-Laylin, Lillian K; Hellsten, Uffe; Chapman, Jarrod; Simakov, Oleg; Rensing, Stefan A; Terry, Astrid; Pangilinan, Jasmyn; Kapitonov, Vladimir; Jurka, Jerzy; Salamov, Asaf; Shapiro, Harris; Schmutz, Jeremy; Grimwood, Jane; Lindquist, Erika; Lucas, Susan; Grigoriev, Igor V; Schmitt, Rudiger; Kirk, David; Rokhsar, Daniel S","59; ALGAE; CAPACITY; CHLAMYDOMONAS; GENES; INVENTIONS; MODIFICATIONS; PROTEINS","Analysis of the Volvox carteri genome reveals that this green alga's increased organismal complexity and multicellularity are associated with modifications in protein families shared with its unicellular ancestor, and not with large-scale innovations in protein coding capacity. The multicellular green alga Volvox carteri and its morphologically diverse close relatives (the volvocine algae) are uniquely suited for investigating the evolution of multicellularity and development. We sequenced the 138 Mb genome of V. carteri and compared its {approx}14,500 predicted proteins to those of its unicellular relative, Chlamydomonas reinhardtii. Despite fundamental differences in organismal complexity and life history, the two species have similar protein-coding potentials, and few species-specific protein-coding gene predictions. Interestingly, volvocine algal-specific proteins are enriched in Volvox, including those associated with an expanded and highly compartmentalized extracellular matrix. Our analysis shows that increases in organismal complexity can be associated with modifications of lineage-specific proteins rather than large-scale invention of protein-coding capacity.","","","Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","Genomics Division","","United States","2010-07-01T04:00:00Z","English","Journal Article","","Journal Name: Science-Research; Journal Volume: 329; Journal Issue: 5988","","Medium: ED; Size: 223","","LBNL-4207E","DE-AC02-05CH11231","Journal ID: ISSN 0036-8075; TRN: US201108%%450","10.1126/science.1188800","","2011-05-05T04:00:00Z","1010539","https://www.osti.gov/biblio/1010539","https://www.osti.gov/servlets/purl/1010539","Science-Research","5988","329"
"<strong>Human-Like Eukaryotic Translation Initiation Factor 3 from <em>Neurospora crassa<\/em><\/strong>","Smith, M. Duane; Gu, Yu; Querol-Audí, Jordi; Vogan, Jacob M.; Nitido, Adam; Cate, Jamie H. D.","59 BASIC BIOLOGICAL SCIENCES; Neurospora crassa; Neurospora; sucrose; saccharomyces cerevisiae; eukaryota; protein translation; schizosaccharomyces pombe; translation initiation","Eukaryotic translation initiation factor 3 (eIF3) is a key regulator of translation initiation, but its in vivo assembly and molecular functions remain unclear. Here we show that eIF3 from Neurospora crassa is structurally and compositionally similar to human eIF3. N. crassa eIF3 forms a stable 12-subunit complex linked genetically and biochemically to the 13<sup>th</sup> subunit, eIF3j, which in humans modulates mRNA start codon selection. Based on N. crassa genetic analysis, most subunits in eIF3 are essential. Subunits that can be deleted (e, h, k and l) map to the right side of the eIF3 complex, suggesting that they may coordinately regulate eIF3 function. Consistent with this model, subunits eIF3k and eIF3l are incorporated into the eIF3 complex as a pair, and their insertion depends on the presence of subunit eIF3h, a key regulator of vertebrate development. Comparisons to other eIF3 complexes suggest that eIF3 assembles around an eIF3a and eIF3c dimer, which may explain the coordinated regulation of human eIF3 levels. Taken together, these results show that Neurospora crassa eIF3 provides a tractable system for probing the structure and function of human-like eIF3 in the context of living cells.","Public Library of Science","","Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER); National Institutes of Health (NIH); Howard Hughes Medical Institute","","United States","2013-11-08T05:00:00Z","English","Journal Article","","Journal Name: PLoS ONE; Journal Volume: 8; Journal Issue: 11","","Medium: ED; Size: Article No. e78715","","","AC02-05CH11231; R56-AI095687; R01-GM65050; P50-GM102706","Journal ID: ISSN 1932-6203","10.1371/journal.pone.0078715","","2023-07-03T04:00:00Z","1627650","https://www.osti.gov/biblio/1627650","https://www.osti.gov/servlets/purl/1627650","PLoS ONE","11","8"
"ER retention is imposed by COPII protein sorting and attenuated by 4- phenylbutyrate","Ma, Wenfu; Goldberg, Elena; Goldberg, Jonathan","","","","","Argonne National Laboratory (ANL), Argonne, IL (United States). Advanced Photon Source (APS)","DOE - Office Of Science; HHMI","","United States","2017-06-01T04:00:00Z","ENGLISH","Journal Article","","Journal Name: eLIFE J.; Journal Volume: 6","","Medium: X","","","","APS_265039","10.7554/eLife.26624","","2023-07-10T04:00:00Z","1856418","https://www.osti.gov/biblio/1856418","","eLIFE J.","","6"
"ER retention is imposed by COPII protein sorting and attenuated by 4- phenylbutyrate","Ma, Wenfu; Goldberg, Elena; Goldberg, Jonathan","","","","","Argonne National Laboratory (ANL), Argonne, IL (United States). Advanced Photon Source (APS)","DOE - Office Of Science; HHMI","","United States","2017-06-01T04:00:00Z","ENGLISH","Journal Article","","Journal Name: eLIFE J.; Journal Volume: 6","","Medium: X","","","","APS_265039","10.7554/eLife.26624","","2023-07-04T04:00:00Z","1847657","https://www.osti.gov/biblio/1847657","","eLIFE J.","","6"
"The Chlamydomonas Genome Reveals the Evolution of Key Animal and Plant Functions","Merchant, Sabeeha S","59 BASIC BIOLOGICAL SCIENCES","Chlamydomonas reinhardtii is a unicellular green alga whose lineage diverged from land plants over 1 billion years ago. It is a model system for studying chloroplast-based photosynthesis, as well as the structure, assembly, and function of eukaryotic flagella (cilia), which were inherited from the common ancestor of plants and animals, but lost in land plants. We sequenced the 120-megabase nuclear genome of Chlamydomonas and performed comparative phylogenomic analyses, identifying genes encoding uncharacterized proteins that are likely associated with the function and biogenesis of chloroplasts or eukaryotic flagella. Analyses of the Chlamydomonas genome advance our understanding of the ancestral eukaryotic cell, reveal previously unknown genes associated with photosynthetic and flagellar functions, and establish links between ciliopathy and the composition and function of flagella.","","","Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","USDOE Office of Science (SC)","","United States","2007-04-09T04:00:00Z","English","Journal Article","","Journal Name: Science; Journal Volume: 318; Journal Issue: 5848","","Medium: ED; Size: 245","","LBNL-6820E","DE-AC02-05CH11231","Journal ID: ISSN 0036--8075","10.1126/science.1143609","","2014-12-22T05:00:00Z","1165587","https://www.osti.gov/biblio/1165587","https://www.osti.gov/servlets/purl/1165587","Science","5848","318"
