Gene	Synonyms
FBgn0033327	PGRP-SC1b
FBti0062373	INE-1
FBgn0034160	CG5550
FBgn0286039	CR46361
FBti0019954	NOF
FBgn0053421	CR33421
FBgn0033363	CG13744
FBti0061639	Doc
FBgn0033088	PGAP3
FBgn0027572	ACOX1
FBti0062497	INE-1
FBti0062422	INE-1
FBgn0026741	mRpL18
FBgn0262432	mir-8
FBgn0034595	CG15657
FBgn0262840	CG43204
FBgn0027360	Tim10
FBgn0264962	Pcf11
FBgn0287621	CR46490
FBgn0082585	sprt
FBti0059691	jockey
FBgn0033936	Achl
FBgn0053416	CR33416
FBgn0034804	GrlHz
FBgn0033590	CG13217
FBgn0287464	CR46453
FBgn0050376	CG30376
FBgn0085428	Nox
FBgn0050460	CG30460
FBgn0034483	CG16894
FBgn0266640	CR45147
FBgn0034001	mRpL41
FBgn0033667	reb
FBgn0259707	CG42361
FBgn0011868	Gly-GCC-1-9
FBti0018894	Cr1a
FBgn0008636	hbn
FBti0018991	jockey
FBgn0028988	Spn42Dd
FBgn0015277	Pi3K59F
FBti0061520	INE-1
FBti0062368	3S18
FBgn0050413	CG30413
FBgn0033205	Rdh1
FBti0018900	Dm88
FBgn0004133	blow
FBgn0263233	robls54B
FBgn0259185	Ir60b
RR48315_transposable_element	Quasimodo; RR48315
FBgn0033884	CG13344
FBti0063718	INE-1
FBgn0034869	CG13558
FBti0062618	INE-1
FBgn0265666	CR44473
FBgn0034151	CG15617
FBgn0262815	CR43186
FBti0062305	INE-1
FBti0061453	INE-1
FBgn0263802	CR43605
FBgn0020620	RN-tre
FBti0019016	roo
FBgn0033043	Or42b
FBgn0033234	MFS12
FBgn0266420	Ote
FBti0064142	gtwin
FBgn0050039	CG30039
FBti0061831	gypsy12
FBgn0027561	CG18659
FBgn0033742	Nepl10
FBgn0034308	Naus
FBti0062458	Doc4
FBti0063050	gypsy12
FBgn0050220	Glu-CTC-2-2
FBgn0024754	Flo1
FBgn0034240	MESR4
FBti0060078	gypsy3
FBgn0033259	Tmem63
FBgn0265529	CR44379
FBgn0010238	Lac
FBgn0033677	CG8321
FBgn0050340	CG30340
FBti0063089	Cr1a
FBti0061312	F
FBgn0050411	CG30411
FBgn0085471	CG34442
FBgn0033856	CG13334
FBgn0033706	Vha36-2
FBti0064293	INE-1
FBgn0263487	PsiU5-44
FBgn0263539	mir-4978
FBgn0011824	Gar1
FBti0061769	gypsy12
FBti0064237	INE-1
FBti0060851	X
FBti0063229	gypsy8
FBgn0035033	CG3548
FBgn0050485	CG30485
FBti0060420	Rt1b
FBgn0267978	ap
FBti0062345	INE-1
FBgn0287774	CG9143
FBti0059994	Stalker2
FBti0215387	Tabor
FBgn0033133	Tsp42Ek
FBgn0287618	CR46487
FBgn0264599	CR43948
FBgn0263459	9445410
RR44380_transposable_element	F; RR44380
FBgn0011897	Lys-CTT-1-11
FBgn0040759	CG13177
FBti0061211	INE-1
FBgn0034931	CG2812
FBgn0259727	CG42381
FBgn0033861	CG12464
FBti0060261	Dm88
FBti0060071	G7
FBgn0266764	CR45229
FBgn0024319	Nach
FBti0018884	Burdock
FBgn0262568	CG43108
FBgn0286813	SRPK
FBgn0259718	CG42372
FBgn0001187	Hex-C
FBti0060852	X
FBgn0265427	CR44339
FBgn0086408	stl
FBgn0034103	prim
FBti0061252	INE-1
FBgn0050192	CG30192
FBti0061731	FB
FBgn0033357	Tom7
FBti0062469	INE-1
FBgn0034486	CG13869
FBgn0034403	CG18190
FBgn0265306	CR44279
FBgn0265963	CR44750
FBgn0033247	Nup44A
FBgn0285969	4
FBti0063235	Rt1a
FBgn0034721	CG11298
FBti0059693	diver2
FBti0061402	INE-1
FBti0060419	springer
FBgn0285943	knon
FBgn0033518	Prx6c
FBgn0035047	Pof
FBgn0035005	CG3483
FBti0061772	gypsy12
FBgn0033972	Ciao1
FBti0061939	Rt1a
FBgn0000566	Cth
FBgn0262481	CG43071
FBti0062433	BS3
FBgn0033051	Strica
FBti0063679	INE-1
FBgn0033058	CCHa2-R
FBti0061202	INE-1
FBgn0262166	caly
FBti0061340	S
FBti0060793	Rt1b
FBti0062563	INE-1
FBti0215316	invader2
FBgn0266377	Pde8
FBgn0261292	CheB53a
FBgn0053383	CR33383
FBti0061761	Cr1a
FBgn0033999	CG8093
FBgn0034075	Asph
FBgn0061359	Mvk
FBgn0033195	CG1360
FBgn0050037	CG30037
FBti0019039	transib4
FBgn0266486	CG45085
FBti0060544	INE-1
FBgn0050384	CG30384
FBti0064269	INE-1
FBgn0265526	CR44376
RR48382_transposable_element	Doc; RR48382
FBgn0265307	CR44280
FBti0061212	INE-1
FBgn0041235	Gr59c
FBgn0034582	Cht9
FBgn0085214	CG34185
FBgn0266646	CR45153
FBgn0034542	Fem-1
FBgn0033539	Git
FBgn0033573	Obp47a
FBti0063713	INE-1
FBgn0085452	CG34423
FBti0018998	mariner2
FBgn0041087	wun2
FBgn0266048	CR44813
FBti0061437	Cr1a
FBgn0033918	CG8531
FBgn0261387	CG17528
FBgn0034966	CG13563
FBgn0034144	CG5089
FBgn0035059	CG3894
FBti0063032	INE-1
FBgn0034368	zda
FBti0061266	INE-1
FBgn0034683	Grl58a
FBti0060498	INE-1
FBti0064288	INE-1
FBgn0020617	Rx
FBgn0022343	CG3760
FBgn0053087	LRP1
FBgn0014020	Rho1
FBgn0034990	CG11406
FBgn0035011	CG13589
FBti0061298	INE-1
FBgn0259795	loopin-1
FBgn0053200	VepD
FBgn0004362	HmgD
FBti0062429	INE-1
FBgn0050334	CG30334
FBgn0266860	CR45321
FBgn0050172	CG30172
FBgn0041234	Gr59f
FBgn0027079	ValRS
FBgn0063375	Me28S-G3277a
FBgn0259977	Tdc1
FBgn0034802	CNBP
FBgn0085224	CG34195
FBgn0034474	Obp56g
FBgn0034425	CG11906
FBti0060157	INE-1
FBgn0265857	CR44646
FBti0059703	mdg3
FBgn0266009	CR44782
FBgn0033274	CG14757
FBgn0033605	CG9067
FBgn0034076	Jhedup
FBgn0029153	Menl-2
FBti0061200	X
FBti0060493	INE-1
FBgn0050466	CG30466
FBgn0265364	CR44305
FBgn0050323	CG30323
FBgn0050277	Oatp58Da
FBti0063242	rooA
FBgn0260437	CR42532
FBgn0034021	CG8180
FBgn0034785	CG3649
FBti0018982	invader2
FBgn0034136	DAT
FBgn0042086	Tsp42Eb
FBgn0050122	CG30122
FBgn0033302	Cyp6a14
FBti0064051	Doc
FBti0061341	S
FBgn0034709	Swim
FBgn0016701	Rab4
FBgn0034401	MetRS
FBgn0050054	CG30054
FBti0063199	Tc3
FBti0062473	Cr1a
FBti0061463	INE-1
FBgn0033862	CG6209
FBti0062421	G5A
FBgn0259145	CG42260
FBgn0015001	iotaTry
FBgn0033241	CG2915
FBti0019949	GATE
FBgn0033052	SCAP
FBgn0010357	betaTry
FBgn0262836	CG43200
FBgn0033214	CG1941
FBgn0034062	CG8388
FBgn0262172	mir-307b
FBgn0003140	PpY-55A
FBgn0034946	CG3065
FBti0018981	invader2
FBgn0263116	5-HT1B
FBgn0033326	CG14743
FBgn0010228	HmgZ
FBgn0033673	CG8298
FBti0060983	3S18
FBti0019987	mdg1
FBgn0266816	CR45278
FBti0215322	opus
FBgn0034186	CG8950
FBgn0033303	Cyp6a15Psi
FBti0019043	opus
FBti0063016	INE-1
FBti0061935	gypsy8
FBgn0034541	CG13437
FBgn0033249	CG11191
FBgn0265834	CG44623
FBti0060365	invader6
FBti0061263	INE-1
FBti0061872	diver2
FBgn0034901	CG11300
FBgn0034389	Mctp
FBgn0033500	Csgalnact
FBgn0035050	SiaT
FBgn0033128	Tsp42Eg
FBgn0033834	CG4744
FBgn0050345	CG30345
FBti0062430	INE-1
FBgn0033451	Marc
FBgn0022960	vimar
FBgn0265697	CR44504
FBgn0264956	CR44125
FBti0063033	INE-1
FBgn0033473	CG12128
FBgn0063374	54Eb
FBgn0034925	CG5339
FBgn0050208	Trp-CCA-2-4
FBgn0033178	CG11127
FBgn0265141	Ir47b
FBgn0053381	CR33381
FBgn0010549	l(2)03659
FBgn0266861	CR45322
FBgn0034545	CG13438
FBti0060568	opus
FBgn0011604	Iswi
FBgn0267428	DIP-lambda
FBgn0053441	CR33441
FBgn0034457	Ir56c
FBgn0264909	CR44100
FBti0063196	INE-1
FBgn0033307	CG14752
FBti0062455	INE-1
FBti0018985	jockey
FBgn0050108	CG30108
FBgn0263443	CR43466
FBgn0050265	CG30265
FBgn0034532	CG13436
FBti0061108	diver2
FBgn0033958	jef
FBgn0265981	CR44760
FBgn0050036	CG30036
FBgn0086656	shrb
FBgn0016032	lbm
FBgn0010385	Def
FBgn0259238	CG42336
FBti0063987	INE-1
FBgn0026619	Taz
FBgn0010278	Ssrp
FBgn0034590	Magi
FBti0060796	diver2
FBgn0264753	Rgk1
FBgn0265371	CR44312
FBgn0040732	CG16926
FBgn0050406	Gly-TCC-2-2
FBti0062397	INE-1
FBti0063685	INE-1
FBgn0026427	Su(var)2-HP2
FBgn0000253	Cam
FBgn0034860	CG9812
FBgn0015903	apt
FBgn0033391	CG8026
FBgn0033889	CG6701
FBgn0034392	MFS15
FBgn0265982	CR44761
RR48354_transposable_element	hopper; RR48354
FBgn0033368	CG13743
FBgn0033369	CG8197
FBgn0034177	AsnRS-m
FBgn0034416	CG15109
FBgn0261564	ReepA
FBgn0264961	CR44130
FBti0059663	roo
FBgn0033165	CG11113
FBgn0033474	CG1407
FBgn0034073	CG8414
FBti0063136	FB
FBti0060495	INE-1
FBti0061664	Transpac
FBgn0034838	CG12782
FBgn0263197	Patronin
FBgn0267957	CR46237
FBgn0033869	Cpr50Cb
FBgn0034249	RhoGAP54D
FBgn0000181	bic
FBgn0263998	Ack-like
FBgn0063386	Me18S-A28a
FBgn0263006	SERCA
FBgn0286931	CG46428
FBgn0266809	CR45271
FBti0063094	G
FBgn0263709	CR43661
FBgn0085638	CG41378
FBgn0261850	Xpd
FBgn0053364	CR33364
FBti0061489	INE-1
FBgn0263742	CG43667
FBgn0265375	CR44316
FBgn0082987	Psi28S-2444
FBgn0026326	Mad1
FBgn0266007	CR44780
FBgn0265174	PIG-V
FBti0062375	INE-1
FBgn0262888	CR43243
FBgn0033705	CG13168
FBgn0265192	Snp
FBgn0026388	Or46a
FBgn0025885	Inos
FBgn0050354	UQCR-11L
FBgn0033038	CG7791
FBgn0034707	MED16
FBgn0263479	PsiU2-35.45
FBgn0033627	CG13204
FBgn0033461	CG12923
FBgn0033167	CG1701
FBti0018923	I
FBgn0042083	Mccc2
FBgn0050356	CG30356
FBti0062587	Rt1b
FBgn0085459	CG34430
FBgn0033693	CG13175
FBgn0264510	CR43909
FBgn0066084	RpL41
FBgn0033631	Sod3
FBgn0263481	lola-b
FBgn0053394	CR33394
FBgn0034958	CG3907
FBti0063177	INE-1
FBgn0034951	CG3860
FBti0060942	INE-1
FBgn0050106	CCHa1-R
FBgn0016984	sktl
FBgn0013548	l(2)dtl
FBti0060497	INE-1
FBti0019928	baggins
FBgn0011704	RnrS
FBgn0034849	CG3500
FBgn0034229	CtsK2
FBgn0034968	RpL12
FBgn0034407	DptB
FBti0061231	INE-1
FBgn0085225	CG34196
FBgn0033924	CG8613
FBgn0000562	egl
FBgn0040007	RpL38
FBgn0082932	Me28S-G1083d
FBgn0033047	CG7882
FBgn0033633	Smyd4-3
FBgn0262446	mir-137
FBgn0067905	Dso2
FBti0061445	INE-1
FBgn0033459	CG12744
FBgn0266518	Dpit47
FBgn0041579	AttC
FBgn0004921	Ggamma1
FBgn0050372	Asap
FBgn0069969	CG40498
FBgn0034138	RpS15
FBgn0050273	CG30273
FBgn0033224	Nop17l
FBgn0050052	Obp49a
FBgn0034734	CG4554
FBti0019269	Doc3; Ir41a[600]
FBgn0265842	CR44631
FBgn0025519	fidipidine
FBgn0011890	Lys-CTT-1-5
FBgn0262690	CR43160
FBgn0043576	PGRP-SC1a
FBgn0034411	CG18605
FBgn0050419	CG30419
FBgn0034592	CG9406
FBgn0260995	dpr21
FBgn0085473	CG34444
FBgn0053704	CG33704
FBgn0002736	mago
FBgn0053225	CG33225
FBgn0011921	iMet-CAT-2-1
FBgn0041239	Gr58a
FBti0064285	Tc3
FBti0062538	Rt1c
FBti0060934	INE-1
FBti0018972	diver
FBgn0025578	Lcp9
FBgn0020391	Nrk
FBti0019012	pogo
FBgn0063382	54Ed
FBgn0050161	CG30161
FBgn0033983	Agps
FBti0019003	Rt1a
FBgn0265443	CR44343
FBti0061346	H
FBgn0023170	RpL39
FBgn0010409	RpL18A
FBgn0287616	CR46485
FBgn0034723	CG13506
FBgn0034842	Prosbeta5R1
FBti0060345	invader4
FBgn0260768	CG42566
FBgn0034230	CG4853
FBti0063276	ZAM
FBgn0261477	slim
RR48327_transposable_element	3S18; RR48327
FBti0019893	Rt1b
FBgn0261385	scra
FBgn0034290	CG5773
FBti0060511	INE-1
FBgn0033110	CG9447
FBti0061906	Doc3
FBgn0034792	YME1L
FBti0063113	3S18
FBgn0034245	UQCR-6.4
FBti0063212	gypsy8
FBgn0263083	CG43351
FBti0018904	Doc
FBgn0034948	PPP1R15
FBgn0033750	CG13151
FBti0063845	INE-1
FBti0062564	INE-1
FBgn0022986	qkr58E-1
FBgn0050493	Coq9
FBgn0050240	Glu-TTC-1-2
FBgn0016047	nompA
FBgn0011674	insc
FBgn0028562	sut2
FBgn0264817	pre-lola-G
FBgn0286006	mir-281-1
FBgn0267949	CR46229
FBgn0035060	Eps-15
FBgn0259729	CG42383
FBgn0000326	clt
FBgn0033584	CG7737
FBgn0264338	CR43794
RR00128_transposable_element	Bari1; RR00128
FBgn0034745	tous
FBgn0005586	Rab3
FBgn0034223	Tes
FBti0061443	INE-1
FBti0060889	Tc3
FBti0060873	gtwin
FBgn0003067	Pepck1
FBgn0265049	CR44164
FBgn0005778	PpD5
FBgn0034515	CG13428
FBti0215309	gypsy4
FBgn0034198	CG11400
FBgn0085487	CG34458
FBgn0033582	CG9084
FBgn0033766	Nup188
FBgn0266634	CR45141
FBti0061105	G5
FBti0062599	Tabor
FBgn0053752	CG33752
FBgn0034310	Nup75
FBgn0042173	CG18853
FBgn0026176	SkpB
FBgn0034887	St1
FBti0063259	accord2
FBgn0260761	CG42559
FBti0059811	INE-1
FBti0063128	Rt1c
FBgn0263250	CG43393
FBgn0050209	Trp-CCA-2-6
FBgn0262965	CR43276
FBti0018886	Circe
FBgn0034576	ND-B14.7
FBgn0266850	CR45311
FBgn0262360	CG43058
FBgn0050414	CG30414
FBgn0003977	vir
FBgn0283509	Phm
FBgn0034518	CG13430
FBgn0264329	CG43788
FBgn0287478	Camta
FBti0019914	opus
FBgn0265878	CR44667
FBgn0034938	CG3803
FBgn0027073	Ugt49B1
FBgn0011659	Mlh1
FBti0018978	invader1
FBti0060051	rooA
FBgn0034519	BORCS7
FBti0063018	INE-1
FBgn0034786	CG13531
FBti0019931	springer
FBgn0262227	mir-991
FBgn0069056	CG33226
FBti0064278	INE-1
FBti0062559	pogo
FBgn0263850	CG43711
FBgn0262954	Polr2K
FBgn0035073	CG16896
FBgn0005619	Hdc
FBti0061205	INE-1
FBgn0285941	CR46337
FBgn0024294	Spn43Aa
FBgn0034935	Orcokinin
FBti0064300	INE-1
FBgn0033733	CG8834
FBgn0261394	Prosalpha3
FBti0060829	gypsy4
FBgn0039979	CR40282
FBgn0033061	SmydA-5
FBti0060992	G4
FBgn0041582	tamo
FBgn0086784	stmA
FBgn0265984	CR44763
RR41347_transposable_element	Doc; RR41347
FBgn0027558	Pgant3
FBgn0015247	Diap2
FBti0063757	HB
FBgn0053368	CR33368
FBgn0053428	CR33428
FBgn0034897	Sesn
FBgn0033397	Cyp4p3
FBgn0053356	CR33356
FBgn0050225	Val-AAC-2-1
FBgn0028494	CG6424
FBgn0262402	mir-311
FBti0018933	Rt1b
FBgn0085217	CG34188
FBgn0065102	184
FBgn0063385	Me28S-A3407a
FBgn0050325	CG30325
FBgn0262515	VhaAC45
FBgn0010316	dap
FBgn0034126	jtb
FBgn0050382	Prosalpha1R
FBgn0050446	Tdc2
FBgn0035023	ITP
FBti0060971	gypsy8
FBti0063151	baggins
FBgn0033903	CG8323
FBgn0033997	Ir51a
RR48362_transposable_element	roo; RR48362
FBti0064080	Tabor
FBgn0085254	CG34225
FBgn0034446	Arl6
FBgn0033842	cbc
FBgn0262215	mir-989
FBti0060099	INE-1
FBgn0264679	CR43964
FBgn0053386	CR33386
FBgn0002069	AspRS
FBgn0040513	kappaB-Ras
FBgn0033449	CG1663
FBgn0287213	CG46443
FBti0059684	S
FBgn0003091	Pkc53E
FBti0061717	Cr1a
FBgn0263660	CR43651
FBgn0266487	CG45086
FBgn0260223	CG42497
FBgn0034114	CG4282
FBgn0050409	CR30409
FBgn0010397	LamC
FBgn0287214	CR46444
FBgn0262970	CR43281
FBti0061209	INE-1
FBgn0263391	hts
FBti0061802	Rt1c
FBgn0054005	CG34005
FBgn0033888	CG18568
FBgn0034500	CG11200
FBgn0035043	CG4781
FBgn0050235	Leu-AAG-1-3
FBti0061420	INE-1
FBgn0033362	CG8172
FBgn0033802	CG17724
FBgn0011932	Asn-GTT-1-5
FBgn0085400	side-V
FBti0063209	INE-1
FBti0061216	INE-1
FBgn0034893	mRpL43
FBgn0003326	sca
FBgn0050461	CG30461
FBgn0010241	Mdr50
FBgn0083983	mRpL34
FBgn0034166	CG6472
FBgn0033294	Mal-A4
FBgn0262845	CG43209
FBti0019008	Rt1a
FBgn0034996	CG13575
FBgn0034301	CG5756
FBgn0023171	rnh1
FBgn0085488	CG34459
FBgn0266574	Thr-TGT-2-4
FBgn0034052	CG8299
FBgn0266804	CR45266
FBti0059831	F
FBgn0260455	CG10332
FBgn0024189	sns
FBgn0034066	EMC7
FBgn0033982	Cyp317a1
FBgn0010434	cora
FBgn0260798	Gprk1
FBgn0034534	maf-S
FBgn0033599	CG13223
FBgn0033323	CG12376
FBti0061284	INE-1
FBti0019009	pogo
FBti0061460	Ivk
FBgn0034191	CG6984
FBgn0033527	CG11777
FBgn0033127	Tsp42Ef
FBti0061439	BS3
FBgn0289556	blo
FBgn0040477	cid
FBgn0033597	Cpr47Ea
FBgn0010590	Prosbeta1
FBti0061612	jockey2
FBgn0011936	Asn-GTT-1-3
FBgn0034898	CG18128
FBgn0063378	54Ed
FBgn0032997	CG17486
FBgn0034535	CG11110
FBgn0267585	dntRL
FBgn0033945	CG12868
FBgn0265176	CR44241
FBgn0085425	CG34396
FBgn0086023	Me28S-A2589a
FBgn0261119	Prp19
FBgn0033063	CG14589
FBgn0260775	DnaJ-60
FBgn0266433	CG45063
FBgn0261856	CR42785
FBgn0033485	RpLP0-like
FBgn0033405	CG13954
FBgn0034196	CG15605
FBti0063034	INE-1
FBgn0261429	CR42646
FBgn0050046	CG30046
FBti0062335	transib1
FBti0060616	Doc4
FBgn0020506	Amyrel
FBti0062582	H
FBti0064059	BS
FBgn0082969	Psi28S-3316d
FBgn0028955	CG8788
FBgn0034605	Ugt49C1
FBti0060948	Doc2
FBgn0035001	Slik
FBti0061603	INE-1
FBti0062466	INE-1
FBgn0034295	CG10911
FBti0061505	G5A
FBgn0050496	CG30496
FBgn0034819	CG9877
FBti0061651	G4
FBgn0262564	CR43104
FBgn0033089	CG17266
FBgn0053357	CR33357
FBgn0053385	CR33385
FBti0061438	BS3
FBgn0033579	CG13229
FBti0063854	INE-1
FBgn0033337	CG8272
FBgn0033031	CG8245
FBti0060973	INE-1
FBti0064296	INE-1
FBgn0053964	CG33964
FBgn0053409	CR33409
FBti0060151	INE-1
FBti0063744	FB
FBgn0035026	Fcp1
FBgn0264834	CR44042
FBgn0050441	IFT20
FBgn0033716	Den1
FBgn0033913	CG8468
FBti0019929	baggins
FBgn0259967	Sfp53D
FBti0064011	INE-1
FBgn0000996	dup
FBti0060341	flea
FBgn0010411	RpS18
FBgn0024249	cato
FBti0064149	invader3
FBgn0026393	Or43b
FBgn0034602	Lapsyn
FBti0018906	Doc2-element
FBgn0034906	CG13561
FBgn0034129	Parp16
FBgn0286876	CG46398
FBgn0033587	CG13218
FBgn0034548	CG13443
FBgn0262821	CG43192
FBgn0086021	MeU6-C68
FBgn0034856	yellow-d2
FBgn0261989	CG42807
FBgn0033464	CG1441
FBgn0085421	Epac
FBgn0050452	iMet-CAT-1-1
FBti0061523	INE-1
FBti0062392	INE-1
FBgn0027548	nito
FBgn0265577	IBIN
FBti0059995	gypsy8
FBgn0260392	CG42518
FBgn0034497	Mpcp1
FBgn0050197	CG30197
FBgn0266086	CR44828
FBgn0033467	Pdrg1
FBti0063119	transib2
FBgn0034703	CG3045
FBti0061459	BS3
FBgn0050227	Trp-CCA-2-2
FBgn0287632	CG46492
FBgn0050043	CG30043
FBgn0034032	CG8195
FBgn0250822	CG34222
FBgn0033209	CG12107
FBgn0263240	Coop
FBgn0011589	Elk
FBti0064302	INE-1
FBgn0033874	CtsL2
FBti0018880	Bari1; Jheh[Bari1855]
FBgn0014870	Psi
FBgn0033090	CG15909
FBgn0003435	sm
FBgn0033905	CG18324
FBti0018948	Tirant
FBti0060641	gtwin
FBgn0016078	wun
FBti0063168	INE-1
FBgn0033757	muskelin
FBti0064010	INE-1
FBgn0050360	Mal-A6
FBgn0262123	l(2)41Ab
FBgn0265499	CR44368
FBgn0033115	Spn42De
FBgn0053406	CR33406
FBgn0033317	CG8635
FBgn0033321	CG8738
FBti0061663	Quasimodo
FBti0061621	INE-1
FBgn0034292	CG5767
FBgn0033594	CG13226
FBti0062365	gypsy3
FBgn0266047	CG44812
FBti0064289	INE-1
FBti0060905	Max
FBgn0040660	CG13551
FBgn0287873	zip
FBti0061862	diver2
FBgn0027788	Hey
FBti0060031	Rt1a
FBgn0034495	CG11788
FBgn0034835	CG3092
FBgn0263444	CR43467
FBgn0034742	CG4294
FBgn0002715	mei-S332
FBgn0034521	Mgat1
FBgn0053435	CR33435
FBgn0028669	Vha100-3
FBgn0050428	CG30428
FBti0215386	rover
FBgn0034684	CG13501
FBgn0034907	CG5539
FBgn0034481	CG11041
FBgn0085460	CG34431
FBti0061928	gypsy8
FBgn0002533	Lcp2
FBgn0034117	CG7997
FBgn0034371	Ntan1
FBti0063083	Cr1a
FBti0018967	copia
FBgn0263529	mir-4977
FBti0063090	Cr1a
FBgn0263397	Ih
FBti0060792	INE-1
FBgn0262102	CG42855
FBgn0034470	Obp56d
FBgn0034275	CG5002
FBti0060940	INE-1
FBgn0086676	spin
FBgn0053448	CR33448
FBgn0034029	eIF2Bgamma
FBgn0034206	CG18469
FBgn0014469	Cyp4e2
FBgn0050363	cola
FBti0063126	Rt1c
FBgn0265640	CR44447
FBti0060055	accord2
FBgn0053998	CG33998
FBgn0011935	Asn-GTT-1-7
FBgn0266865	CR45326
FBgn0000037	mAChR-A
FBti0059827	INE-1
FBti0061203	INE-1
FBti0019910	GATE
FBgn0035082	CG2811
FBti0062487	INE-1
FBgn0053400	CR33400
FBgn0004698	Xpc
FBgn0263466	lola-a
FBgn0034154	CG5267
FBgn0266671	Sec6
FBgn0053404	CR33404
FBgn0265185	CG44250
FBgn0265847	CR44636
FBgn0266633	CR45140
FBti0060903	gypsy8
FBgn0259742	CG42360
FBti0061629	INE-1
FBgn0045482	Gr59b
FBgn0016684	NaPi-T
FBti0060263	Dm88
FBti0064256	Cr1a
FBgn0034628	Acox57D-p
FBgn0266708	Cep89
FBgn0085475	CG34446
RR48356_transposable_element	Transpac; RR48356
FBgn0050423	CG30423
FBti0061291	INE-1
FBgn0264876	CR44067
FBgn0053530	Acp53C14c
FBgn0033177	CG11141
FBgn0025454	Cyp6g1
FBgn0085246	CG34217
FBgn0028372	Kpc2
FBgn0034564	CG9344
FBgn0034413	CG15115
FBgn0029093	cathD
FBgn0083016	Psi18S-841d
FBgn0034008	CG8152
FBgn0033844	bbc
FBti0061759	Cr1a
FBgn0026309	aft
FBgn0050089	CG30089
FBgn0261862	whd
FBgn0265625	CG44433
FBgn0288447	BaraA2
FBgn0283666	Rap2l
FBti0018909	Doc3-element
FBgn0029084	gom
FBti0060891	Doc3
FBgn0263033	CG43328
FBgn0283437	PPO1
FBti0060589	G2
FBgn0266926	CR45377
FBgn0041240	Gr57a
FBgn0265660	CR44467
FBgn0283450	Glo1
FBgn0050109	CG30109
FBgn0050200	Ala-CGC-1-3
FBgn0265864	CR44653
FBgn0034068	casp
FBgn0050342	Prp38
FBgn0002930	nec
FBgn0265105	CR44207
FBgn0033233	Kdm4A
FBgn0034396	CG15097
RR48532_transposable_element	copia; RR48532
FBgn0266379	CR45021
FBgn0061360	CG33672
FBgn0046297	CR9284
FBgn0034502	CG13871
FBgn0263031	CG43326
FBgn0033356	CG8229
FBgn0033598	Cpr47Eb
FBgn0033194	Vps13
FBgn0265654	CR44461
FBti0063699	INE-1
FBgn0050404	Tango11
FBgn0263102	psq
FBgn0033970	CG10205
FBgn0027590	GstE12
FBgn0266810	CR45272
FBgn0050103	CG30103
FBgn0033726	Cpr49Ad
FBgn0040737	Tango8
FBti0064295	INE-1
FBgn0033558	alka
FBgn0005613	Sox15
FBgn0011556	zetaTry
FBti0019280	F
FBgn0267657	CR45995
FBgn0263538	mir-4965
FBgn0030823	TTLL1A
FBgn0004368	Ptp4E
FBti0061103	INE-1
FBti0061585	INE-1
FBti0061880	INE-1
FBgn0026079	Nsun2
FBgn0265986	CR44765
FBgn0266198	CR44893
FBgn0000427	dec
FBgn0052643	CG32643
FBgn0030242	sofe
FBgn0029892	CG3184
FBgn0030829	CG12998
FBgn0031054	Ssu72
FBti0215360	Stalker3
FBgn0029952	CG12689
FBgn0029980	Dhdds
FBgn0011837	Tis11
FBgn0015036	Cyp4ae1
FBgn0029912	Tmf
FBgn0030558	Tat
FBgn0029724	CG15472
FBgn0030230	Rph
FBgn0283545	vilya
FBgn0030029	CG15343
FBgn0260858	Ykt6
FBgn0030451	CG15717
FBgn0259195	CG42299
FBti0019596	Tabor
FBti0019061	rover
FBgn0030366	Usp7
FBgn0052672	Atg8a
FBgn0086782	amn
FBgn0030599	CG9030
FBgn0030858	IntS2
FBti0019747	F
FBgn0031032	CG14204
FBgn0000163	baz
FBgn0031047	Rcd-1
FBgn0030563	betaNACtes2
FBgn0260870	CG42580
FBgn0031170	Abca3
FBti0215069	Helitron
FBgn0029949	CG15035
FBgn0010383	Cyp18a1
FBgn0265903	CR44692
FBgn0030912	CG6023
FBgn0029888	ND-ASHI
FBgn0027793	CG14787
FBgn0029740	CG12680
FBgn0259700	CG42354
FBgn0040207	kat80
FBgn0265454	CR44354
FBti0062706	INE-1
FBgn0030391	Rab40
FBgn0029746	CG15465
FBgn0267826	CR46147
FBti0019602	Juan
FBgn0259677	CG42346
FBgn0001341	Mybbp1A
FBgn0031194	CG17598
FBti0060063	INE-1
FBti0061355	INE-1
FBgn0030552	mRpL38
FBti0063618	gypsy12
FBgn0000524	dx
FBgn0284435	tyn
FBgn0023177	Pp4-19C
FBgn0030597	Eo
FBgn0030830	CG5172
FBti0019581	I
FBgn0030872	Ucp4A
FBgn0025620	CG13360
FBgn0029747	CG5062
FBti0064088	INE-1
FBgn0030435	CG4645
FBgn0029705	CG12693
FBgn0029770	CG4151
FBti0019631	I
FBgn0015774	NetB
FBgn0260971	CG42594
FBti0063958	transib4
FBgn0029962	CARPA
FBgn0267513	CR45853
FBgn0053181	CG33181
FBti0059708	S
FBgn0014868	Ost48
FBti0063472	INE-1
FBgn0053502	CG33502
FBgn0030663	CG8117
FBgn0264449	CG43867
FBgn0029837	Tsp5D
FBti0063693	INE-1
FBgn0003996	w
FBgn0030876	Srx
FBgn0261675	Npc1b
FBgn0014903	CG14630
FBgn0283451	br
FBgn0085693	CG41562
FBgn0030195	CG2898
FBgn0031045	CG14212
FBgn0267170	CR45610
FBti0215331	pogo
